SKU,BrandId,Brand,ModelId,Model,Finish,RimWidth,RimDiameter,Size,BoltPattern1,Hubbore,Offset,warranty,MaxWheelLoad,Weight,LipSize,construction,USRetail,UAERetailIncludingVat,brandLogo,image1,image2,image3,image4,image5,image6,image7,image8,image9
AT01-SS17-61143,,All Terrain Industries,,AT-01 Beadlock,Machined Silver,8.5,17,17x8.5,6x114.3,66.1mm,0mm,Lifetime,1650Kg,17 Kg,,Beadlock,1300,1300,0,AT01-17-6139-MCD-N38-MDTR.jpeg,,,,,,,,
RF5-209-5112GB,,Riviera Wheels,,RF5,Gloss Black,9,20,20x9,5x112,73.1,35mm,1 Year,950Kg,,,FlowForm,1650,1650,0,large.jpeg,,,,,,,,
RF5-20105-5112GB,,Riviera Wheels,,RF5,Gloss Black,10.5,20,20x10.5,5x112,73.1,42mm,1 Year,950Kg,,,FlowForm,1800,1800,0,large.jpeg,,,,,,,,
RF5-22105-5120GB,,Riviera Wheels,,RF5,Gloss Black,10.5,22,22x10.5,5x120,74.1,35mm,1 Year,950Kg,,,FlowForm,2250,2250,0,large.jpeg,,,,,,,,
RF5-22105-5120BRZ,,Riviera Wheels,,RF5,Bronze Double Dark Tint,10.5,22,22x10.5,5x120,74.1,35mm,1 Year,950Kg,,,FlowForm,2250,2250,0,Riviera-RF5-Bronze-Double-Dark-Tint-Angle.png,,,,,,,,
RF101-1985-5112GB,,Riviera Wheels,,RF101,Gloss Black,8.5,19,19x8.5,5x112,73.1,42mm,1 Year,950Kg,,,FlowForm,1400,1400,0,riviera_rf101_bkg_6.jpeg,,,,,,,,
RF101-1985-5112GBP,,Riviera Wheels,,RF101,Black Polished,8.5,19,19x8.5,5x112,73.1,42mm,1 Year,950Kg,,,FlowForm,1400,1400,0,RF101BlackPolishedAngle_2652e557-b41d-4c27-b809-7e307376d537_600x.webp,,,,,,,,
RV193-1985-5112CG,,Riviera Wheels,,RV193,Carbon Grigio,8.5,19,19x8.5,5x112,73.1,45mm,1 Year,950Kg,,,FlowForm,1300,1300,0,rv193cg.jpeg,,,,,,,,
RF105-1985-5112GB,,Riviera Wheels,,RF105,Gloss Black,8.5,19,19x8.5,5x112,73.1,45mm,1 Year,950Kg,,,FlowForm,1400,1400,0,RF105GlossBlackAngle_b0a652b6-8e17-42d4-93f0-b9c3ac7f0e18_600x.webp,,,,,,,,
RF108-22105-5120GB,,Riviera Wheels,,RF108,Gloss Black,10.5,22,22x10.5,5x120,72.5,35mm,1 Year,950Kg,,,FlowForm,2250,2250,0,rf108black.png,,,,,,,,
RF108-1985-5112GB,,Riviera Wheels,,RF108,Gloss Black,8.5,19,19x8.5,5x112,73.1,45mm,1 Year,950Kg,,,FlowForm,1400,1400,0,rf108black.png,,,,,,,,
RV133-2295-5120GBP,,Riviera Wheels,,RV133,Black Polished,9.5,22,22x9.5,5x120,74.1,35mm,1 Year,950Kg,,,FlowForm,2250,2250,0,RV133BlackPolishedAngle_1200x1200.webp,,,,,,,,
HFX1-0G08,,Vossen,,HFX-1,Satin Black,10,20,20x10,6x139.7,106.1,-18mm,5 Years,1650Kg,,,Hybrid Forged,2500,2500,0,Angled-HFX-1-Satin-Black-Vossen-Hybrid-Forged-Wheel-6-Lug.jpg,,,,,,,,
HF64-0G13,,Vossen,,HF6-4,Gloss Black,9,20,20x9,6x139.7,106.1,18mm,5 Years,1650Kg,,,Hybrid Forged,2600,2600,0,Main_Vossen-HF6-4-C25-Gloss-Black.jpeg,,,,,,,,
HF64-2G20-TL,,Vossen,,HF6-4,Gloss Black,9.5,22,22x9.5,6x139.7,95.1,30mm,5 Years,1650Kg,,,Hybrid Forged,3000,3000,0,Main_Vossen-HF6-4-C25-Gloss-Black.jpeg,,,,,,,,
HF64-4G40,,Vossen,,HF6-4,Gloss Black,10,24,24x10,6x139.7,106.1,25mm,5 Years,1650Kg,,,Hybrid Forged,3400,3400,0,Main_Vossen-HF6-4-C25-Gloss-Black.jpeg,,,,,,,,
HF64-0G15,,Vossen,,HF6-4,Matte Gunmetal,9,20,20x9,6x139.7,106.1,18mm,5 Years,1650Kg,,,Hybrid Forged,2600,2600,0,Main_Vossen-HF6-4-C31-Matte-Gunmetal.jpeg,,,,,,,,
HF64-2G22,,Vossen,,HF6-4,Matte Gunmetal,9.5,22,22x9.5,6x139.7,106.1,20mm,5 Years,1650Kg,,,Hybrid Forged,3000,3000,0,Main_Vossen-HF6-4-C31-Matte-Gunmetal.jpeg,,,,,,,,
HF64-0G17,,Vossen,,HF6-4,Terra Bronze,9,20,20x9,6x139.7,106.1,18mm,5 Years,1650Kg,,,Hybrid Forged,2600,2600,0,Main_Vossen-HF6-4-Terra-Bronze.jpeg,,,,,,,,
HF64-2G24,,Vossen,,HF6-4,Terra Bronze,9.5,22,22x9.5,6x139.7,106.1,20mm,5 Years,1650Kg,,,Hybrid Forged,3000,3000,0,Main_Vossen-HF6-4-Terra-Bronze.jpeg,,,,,,,,
HF5-0B16,,Vossen,,HF-5,Gloss Black,9.5,20,20x9.5,5x120,72.6,20mm,5 Years,1650Kg,,,Hybrid Forged,2700,2700,0,HF-5-Gloss-Black-Right.jpeg,,,,,,,,
HF5-2B43,,Vossen,,HF-5,Gloss Black,10.5,22,22x10.5,5x120,72.6,38mm,5 Years,1650Kg,,,Hybrid Forged,3300,3300,0,HF-5-Gloss-Black-Right.jpeg,,,,,,,,
HF5-3B50,,Vossen,,HF-5,Gloss Black,10,23,23x10,5x120,72.6,32mm,5 Years,1650Kg,,,Hybrid Forged,3500,3500,0,HF-5-Gloss-Black-Right.jpeg,,,,,,,,
HF65-0G05,,Vossen,,HF6-5,Gloss Black,9.5,20,20x9.5,6x139.7,106.1,15mm,5 Years,1650Kg,,,Hybrid Forged,2500,2500,0,Thumbnail_Gloss_Black_HF6-5.jpeg,,,,,,,,
HF65-2G24,,Vossen,,HF6-5,Gloss Black,9.5,22,22x9.5,6x139.7,106.1,20mm,5 Years,1650Kg,,,Hybrid Forged,3000,3000,0,Thumbnail_Gloss_Black_HF6-5.jpeg,,,,,,,,
